ticker,company,sector
ALB,Albemarle Corporation,Basic Materials
APD,"Air Products and Chemicals, Inc.",Basic Materials
CF,"CF Industries Holdings, Inc.",Basic Materials
CTVA,"Corteva, Inc.",Basic Materials
DD,"DuPont de Nemours, Inc.",Basic Materials
DOW,Dow Inc.,Basic Materials
ECL,Ecolab Inc.,Basic Materials
EMN,Eastman Chemical Company,Basic Materials
FCX,Freeport-McMoRan Inc.,Basic Materials
IFF,International Flavors & Fragrances Inc.,Basic Materials
LIN,Linde plc,Basic Materials
LYB,LyondellBasell Industries N.V.,Basic Materials
MLM,"Martin Marietta Materials, Inc.",Basic Materials
MOS,The Mosaic Company,Basic Materials
NEM,Newmont Corporation,Basic Materials
NUE,Nucor Corporation,Basic Materials
PPG,"PPG Industries, Inc.",Basic Materials
SHW,The Sherwin-Williams Company,Basic Materials
STLD,"Steel Dynamics, Inc.",Basic Materials
VMC,Vulcan Materials Company,Basic Materials
CHTR,"Charter Communications, Inc.",Communication Services
CMCSA,Comcast Corporation,Communication Services
DASH,"DoorDash, Inc.",Communication Services
DIS,The Walt Disney Company,Communication Services
EA,Electronic Arts Inc.,Communication Services
FOX,Fox Corporation,Communication Services
FOXA,Fox Corporation,Communication Services
GOOG,Alphabet Inc.,Communication Services
GOOGL,Alphabet Inc.,Communication Services
IPG,"The Interpublic Group of Companies, Inc.",Communication Services
LYV,"Live Nation Entertainment, Inc.",Communication Services
META,"Meta Platforms, Inc.",Communication Services
MTCH,"Match Group, Inc.",Communication Services
NFLX,"Netflix, Inc.",Communication Services
NWS,News Corporation,Communication Services
NWSA,News Corporation,Communication Services
OMC,Omnicom Group Inc.,Communication Services
PARA,Paramount Global,Communication Services
T,AT&T Inc.,Communication Services
TKO,"TKO Group Holdings, Inc.",Communication Services
TMUS,"T-Mobile US, Inc.",Communication Services
TTWO,"Take-Two Interactive Software, Inc.",Communication Services
VZ,Verizon Communications Inc.,Communication Services
WBD,"Warner Bros. Discovery, Inc.",Communication Services
ABNB,"Airbnb, Inc.",Consumer Cyclical
AMCR,Amcor plc,Consumer Cyclical
AMZN,"Amazon.com, Inc.",Consumer Cyclical
APTV,Aptiv PLC,Consumer Cyclical
AVY,Avery Dennison Corporation,Consumer Cyclical
AZO,"AutoZone, Inc.",Consumer Cyclical
BALL,Ball Corporation,Consumer Cyclical
BBY,"Best Buy Co., Inc.",Consumer Cyclical
BKNG,Booking Holdings Inc.,Consumer Cyclical
CCL,Carnival Corporation & plc,Consumer Cyclical
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical
